('F?o~_', 3, 0.012712007999652997)
('F?o~o', 3, 0.013343159997020848)
('F?o~w', 3, 0.01280590399983339)
('F?q_w', 2, 0.00709335200372152)
('F?q`o', 2, 0.005449525997391902)
('F?qaw', 2, 0.006996580996201374)
('F?qb_', 2, 0.0062968170022941194)
('F?qbo', 2, 0.007022743993729819)
('F?qbw', 2, 0.007315506001759786)
('F?qcw', 2, 0.006680613005300984)
('F?qdo', 2, 0.006443231999583077)
('F?qeo', 2, 0.00636725100048352)
('F?qew', 2, 0.008003888993698638)
('F?qf_', 2, 0.0073888170009013265)
('F?qfo', 2, 0.0074772849984583445)
('F?qfw', 3, 0.01235293599893339)
('F?qjo', 2, 0.0074184030017931946)
('F?qjw', 2, 0.007301325997104868)
('F?qkw', 3, 0.01117912999325199)
('F?qlo', 2, 0.007426554002449848)
('F?qmo', 2, 0.006800356000894681)
('F?qmw', 3, 0.012090365999029018)
('F?qn_', 2, 0.007688401994528249)
('F?qno', 2, 0.00815804699959699)
('F?qnw', 3, 0.014338356006192043)
('F?qpo', 2, 0.00704463200236205)
('F?qrO', 2, 0.007444415001373272)
('F?qr_', 3, 0.011327605003316421)
('F?qrg', 3, 0.011669546001940034)
('F?qro', 3, 0.01179894099914236)
('F?qrw', 3, 0.012996672994631808)
('F?qtg', 3, 0.012192147005407605)
('F?qto', 2, 0.007232411997392774)
('F?qtw', 2, 0.01172591099748388)
('F?quW', 2, 0.00739499199698912)
('F?qvG', 2, 0.006925344001501799)
('F?qvO', 2, 0.004445972997928038)
('F?qvW', 2, 0.007798042002832517)
('F?qv_', 3, 0.013376609000260942)
('F?qvg', 3, 0.013787750001938548)
('F?qvo', 3, 0.012822508993849624)
('F?qvw', 3, 0.013135624001733959)
('F?qzw', 3, 0.01194679500622442)
('F?q|w', 3, 0.012487574000260793)
('F?q~W', 2, 0.007687876001000404)
('F?q~_', 3, 0.013330730005691294)
('F?q~g', 3, 0.0135780659984448)
('F?q~o', 3, 0.014298641995992512)
('F?q~w', 3, 0.013447433004330378)
('F?rDo', 2, 0.006464142999902833)
('F?rF_', 3, 0.013491092999174725)
('F?rFo', 3, 0.013394392000918742)
('F?rFw', 3, 0.013366129001951776)
('F?rLw', 3, 0.014752174000022933)
('F?rN_', 3, 0.013499173997843172)
('F?rNo', 3, 0.013357973999518435)
('F?rNw', 3, 0.015014993005024735)
('F?rdo', 2, 0.007213370998215396)
('F?rdw', 2, 0.007484204004867934)
('F?re_', 3, 0.011838728001748677)
('F?reg', 2, 0.006899908999912441)
('F?reo', 2, 0.007399103000352625)
('F?rew', 2, 0.008444170001894236)
('F?rf_', 3, 0.013166835997253656)
('F?rfg', 3, 0.012677709004492499)
('F?rfo', 3, 0.012886370001069736)
('F?rfw', 3, 0.01310205900517758)
('F?rmw', 3, 0.012150807997386437)
('F?rn_', 2, 0.007465935996151529)
('F?rng', 2, 0.007716497995716054)
('F?rno', 3, 0.013211651996243745)
('F?rnw', 3, 0.013686853999388404)
('F?rv_', 4, 0.020030767998832744)
('F?rvg', 4, 0.019895473000360653)
('F?rvo', 3, 0.013922165999247227)
('F?rvw', 3, 0.014670649004983716)
('F?r~o', 4, 0.019651047994557302)
('F?r~w', 4, 0.02005286300118314)
('F?zPw', 3, 0.012198365999211092)
('F?zTW', 2, 0.007410075995721854)
('F?zTo', 3, 0.011316169999190606)
('F?zTw', 3, 0.014300308997917455)
('F?zUW', 2, 0.007055477995891124)
('F?zUo', 2, 0.008783621997281443)
('F?zVO', 3, 0.012495591006882023)
('F?zVW', 2, 0.007237785997858737)
('F?zV_', 3, 0.013429289996565785)
('F?zVo', 3, 0.013046754997048993)
('F?zVw', 3, 0.013955449001514353)
('F?z\\w', 3, 0.01212125700112665)
('F?z^o', 3, 0.013795312006550375)
('F?z^w', 3, 0.013496112005668692)
('F?zcw', 3, 0.012366636998194735)
('F?zew', 3, 0.01214662499842234)
('F?zf_', 4, 0.01930663199891569)
('F?zfo', 3, 0.013829158000589814)
('F?zfw', 3, 0.013761319998593535)
('F?zmw', 3, 0.013073428999632597)
('F?zno', 3, 0.014145648005069233)
('F?znw', 4, 0.01987129500048468)
('F?zuo', 3, 0.013222180001321249)
('F?zvO', 3, 0.013961472999653779)
('F?zv_', 4, 0.018967627998790704)
('F?zvg', 4, 0.020435460995940957)
('F?zvo', 3, 0.014091240002017003)
('F?zvw', 3, 0.016025154996896163)
('F?z~w', 4, 0.020304679004766513)
('F?~vW', 4, 0.020477222999033984)
('F?~v_', 5, 0.026923454999632668)
('F?~vo', 4, 0.021267358999466524)
('F?~vw', 4, 0.022436753002693877)
('F?~~w', 5, 0.027481137003633194)
('FCOf?', 2, 0.0062957490008557215)
('FCOf_', 2, 0.006536476998007856)
('FCOfo', 2, 0.007700834998104256)
('FCOfw', 3, 0.014034412997716572)
('FCQVO', 2, 0.007558969002275262)
('FCQV_', 2, 0.0068040240003028885)
('FCQVg', 3, 0.01399096500244923)
('FCQVo', 2, 0.007822429994121194)
('FCQVw', 3, 0.013366954997763969)
